config,section,mean_recall_at_5,mean_mrr,n_queries,n_skipped
dense,threat_assessment,0.6,0.93,50,0
dense,attack_mechanism,0.42333333333333334,0.7273333333333334,50,0
dense,observable_indicators,0.49,0.6106666666666666,50,0
dense,immediate_actions,0.29,0.369,50,0
dense,longer_term_remediation,0.16,0.4666666666666666,50,0
dense,confidence_notes,0.2,0.10833333333333332,10,40
hybrid_bm25_rrf,threat_assessment,0.5333333333333333,0.96,50,0
hybrid_bm25_rrf,attack_mechanism,0.43333333333333335,0.79,50,0
hybrid_bm25_rrf,observable_indicators,0.49,0.6920000000000001,50,0
hybrid_bm25_rrf,immediate_actions,0.15666666666666665,0.106,50,0
hybrid_bm25_rrf,longer_term_remediation,0.135,0.15133333333333332,50,0
hybrid_bm25_rrf,confidence_notes,0.5,0.8,10,40
rerank,threat_assessment,0.5266666666666666,0.95,50,0
rerank,attack_mechanism,0.43333333333333335,0.94,50,0
rerank,observable_indicators,0.5,0.6533333333333333,50,0
rerank,immediate_actions,0.18,0.275,50,0
rerank,longer_term_remediation,0.12,0.17733333333333334,50,0
rerank,confidence_notes,0.8,0.3,10,40
full_decomposition,threat_assessment,0.34,0.7243333333333334,50,0
full_decomposition,attack_mechanism,0.51,0.6873333333333334,50,0
full_decomposition,observable_indicators,0.59,0.42,50,0
full_decomposition,immediate_actions,0.53,0.3636666666666667,50,0
full_decomposition,longer_term_remediation,0.45,1.0,50,0
full_decomposition,confidence_notes,1.0,1.0,10,40
