config,attack_type,section,device_category,recall_at_5,mrr,retrieved_doc_ids
dense,mirai_ack,threat_assessment,doorbell,0.6666666666666666,1.0,mirai-ack-flood|device-doorbell-profile|mirai-udp-flood|mirai-scan|mirai-syn-flood
dense,mirai_ack,threat_assessment,thermostat,0.6666666666666666,1.0,mirai-ack-flood|mirai-udp-flood|mirai-syn-flood|mirai-ack-flood|mirai-family-overview
dense,mirai_ack,threat_assessment,baby_monitor,0.6666666666666666,1.0,mirai-ack-flood|mirai-scan|mirai-udp-flood|mirai-syn-flood|mirai-family-overview
dense,mirai_ack,threat_assessment,security_camera,0.6666666666666666,1.0,mirai-ack-flood|mirai-udp-flood|mirai-scan|mirai-syn-flood|mirai-family-overview
dense,mirai_ack,threat_assessment,webcam,0.6666666666666666,1.0,mirai-ack-flood|mirai-udp-flood|mirai-scan|mirai-syn-flood|mirai-family-overview
dense,mirai_ack,attack_mechanism,doorbell,0.5,1.0,mirai-ack-flood|mirai-ack-flood|device-doorbell-profile|mirai-udp-flood|mirai-scan
dense,mirai_ack,attack_mechanism,thermostat,0.5,1.0,mirai-ack-flood|mirai-ack-flood|mirai-syn-flood|mirai-udp-flood|iot-immediate-containment
dense,mirai_ack,attack_mechanism,baby_monitor,0.5,1.0,mirai-ack-flood|mirai-scan|mirai-ack-flood|mirai-udp-flood|mirai-family-overview
dense,mirai_ack,attack_mechanism,security_camera,0.5,1.0,mirai-ack-flood|mirai-ack-flood|mirai-udp-flood|mirai-family-overview|mirai-scan
dense,mirai_ack,attack_mechanism,webcam,0.5,1.0,mirai-ack-flood|mirai-udp-flood|device-security-camera-profile|mirai-family-overview|mirai-ack-flood
dense,mirai_ack,observable_indicators,doorbell,0.5,1.0,mirai-ack-flood|mirai-udp-flood|device-doorbell-profile|mirai-ack-flood|mirai-udp-flood
dense,mirai_ack,observable_indicators,thermostat,0.5,1.0,mirai-ack-flood|mirai-ack-flood|mirai-syn-flood|mirai-udp-flood|mirai-udp-flood
dense,mirai_ack,observable_indicators,baby_monitor,0.5,1.0,mirai-ack-flood|mirai-udp-flood|mirai-ack-flood|mirai-scan|mirai-family-overview
dense,mirai_ack,observable_indicators,security_camera,0.5,1.0,mirai-ack-flood|mirai-udp-flood|mirai-ack-flood|mirai-family-overview|mirai-syn-flood
dense,mirai_ack,observable_indicators,webcam,0.5,1.0,mirai-ack-flood|mirai-udp-flood|mirai-family-overview|mirai-syn-flood|mirai-ack-flood
dense,mirai_ack,immediate_actions,doorbell,0.5,0.2,mirai-ack-flood|mirai-ack-flood|mirai-scan|mirai-udp-flood|device-doorbell-profile
dense,mirai_ack,immediate_actions,thermostat,0.5,0.3333333333333333,mirai-ack-flood|mirai-ack-flood|iot-immediate-containment|mirai-udp-flood|mirai-syn-flood
dense,mirai_ack,immediate_actions,baby_monitor,0.0,0.0,mirai-ack-flood|mirai-ack-flood|mirai-scan|mirai-udp-flood|mirai-family-overview
dense,mirai_ack,immediate_actions,security_camera,0.0,0.0,mirai-ack-flood|mirai-ack-flood|mirai-udp-flood|mirai-family-overview|mirai-scan
dense,mirai_ack,immediate_actions,webcam,0.0,0.0,mirai-ack-flood|mirai-udp-flood|mirai-ack-flood|device-security-camera-profile|mirai-family-overview
dense,mirai_ack,longer_term_remediation,doorbell,0.25,0.5,mirai-ack-flood|device-doorbell-profile|mirai-ack-flood|mirai-family-overview|mirai-scan
