class,ece_quantile,brier,n_samples,n_positive,n_bins,min_bin_size
benign,4.313068188089219e-05,4.283284469973483e-05,89000,9000,10,100
gafgyt_combo,4.767028335477958e-05,3.621769639431882e-05,89000,9000,10,100
gafgyt_junk,5.756741132907986e-05,4.2360522963456585e-05,89000,9000,10,100
gafgyt_scan,8.574992315015657e-08,1.5124854394306628e-10,89000,9000,10,100
gafgyt_tcp,0.0005617850808192352,0.05053215006152002,89000,9000,10,100
gafgyt_udp,0.001132079572419432,0.05053835243456271,89000,9000,10,100
mirai_ack,9.305138493065357e-09,7.70611860248527e-12,89000,7000,10,100
mirai_scan,8.85915406815263e-06,1.1541403242014954e-05,89000,7000,10,100
mirai_syn,2.027202703303033e-06,1.1386232932138156e-07,89000,7000,10,100
mirai_udp,1.02188224262334e-05,9.408954784937567e-06,89000,7000,10,100
mirai_udpplain,9.207480248651924e-06,9.506824255547796e-06,89000,7000,10,100
