bin,n,prob_min,prob_max,mean_confidence,empirical_rate,abs_gap,ece_contribution,ci95_low,ci95_high,is_sparse,target
0,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,gafgyt_tcp_or_udp
1,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,gafgyt_tcp_or_udp
2,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,gafgyt_tcp_or_udp
3,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,gafgyt_tcp_or_udp
4,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,gafgyt_tcp_or_udp
5,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,gafgyt_tcp_or_udp
6,8900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,gafgyt_tcp_or_udp
7,8900,0.0,0.9991716446768589,0.022780573708726673,0.022696629213483147,8.394449524352574e-05,8.394449524352574e-06,0.019602371745546267,0.025790886681420027,False,gafgyt_tcp_or_udp
8,8900,0.9991716446768589,1.0,0.9996428766081794,0.9998876404494382,0.00024476384125882156,2.447638412588216e-05,0.9996674281028599,1.0,False,gafgyt_tcp_or_udp
9,8900,1.0,1.0,1.0,0.9998876404494382,0.00011235955056176916,1.1235955056176916e-05,0.9996674281028599,1.0,False,gafgyt_tcp_or_udp
