class,n_top,n_signed_positive,frac_signed_positive,min_top_signed_shap,max_top_signed_shap
benign,5,5,1.0,0.4472673833370209,1.3357493877410889
gafgyt_combo,5,5,1.0,0.6496253609657288,3.3083715438842773
gafgyt_junk,5,5,1.0,0.5069426894187927,2.45054030418396
gafgyt_scan,5,5,1.0,0.22620916366577148,3.256474018096924
gafgyt_tcp,5,5,1.0,0.0030980808660387993,2.17036771774292
gafgyt_udp,5,4,0.8,-0.004034895449876785,2.0271191596984863
mirai_ack,5,5,1.0,0.4855055510997772,3.371351957321167
mirai_scan,5,3,0.6,-0.10578492283821106,0.9171326160430908
mirai_syn,5,5,1.0,0.04329877719283104,5.75829553604126
mirai_udp,5,5,1.0,0.359747976064682,5.994546413421631
mirai_udpplain,5,5,1.0,0.31021687388420105,4.236167907714844
