class,n_top,n_signed_positive,frac_signed_positive,min_top_signed_shap,max_top_signed_shap
benign,5,5,1.0,1.1709959506988525,2.446763753890991
gafgyt_combo,5,5,1.0,0.9601035118103027,3.4352285861968994
gafgyt_junk,5,5,1.0,0.9267752766609192,3.1339809894561768
gafgyt_scan,5,5,1.0,0.7617312669754028,5.031813621520996
gafgyt_tcp,5,5,1.0,0.0035679612774401903,1.6198911666870117
gafgyt_udp,5,4,0.8,-0.0007840581820346415,1.6064891815185547
mirai_ack,5,5,1.0,1.129000186920166,3.2823965549468994
mirai_scan,5,5,1.0,0.019623946398496628,6.790980339050293
mirai_syn,5,5,1.0,0.17440488934516907,8.260503768920898
mirai_udp,5,5,1.0,0.2674712836742401,7.150054931640625
mirai_udpplain,5,5,1.0,0.8964836597442627,4.565207004547119
