device_name,attack_type,n_samples,recall
Danmini_Doorbell,gafgyt_combo,5000,1.0
Danmini_Doorbell,gafgyt_junk,5000,1.0
Danmini_Doorbell,gafgyt_scan,5000,1.0
Danmini_Doorbell,gafgyt_tcp,5000,1.0
Danmini_Doorbell,gafgyt_udp,5000,1.0
Danmini_Doorbell,mirai_ack,5000,1.0
Danmini_Doorbell,mirai_scan,5000,1.0
Danmini_Doorbell,mirai_syn,5000,1.0
Danmini_Doorbell,mirai_udp,5000,1.0
Danmini_Doorbell,mirai_udpplain,5000,1.0
Ecobee_Thermostat,gafgyt_combo,5000,1.0
Ecobee_Thermostat,gafgyt_junk,5000,1.0
Ecobee_Thermostat,gafgyt_scan,5000,1.0
Ecobee_Thermostat,gafgyt_tcp,5000,1.0
Ecobee_Thermostat,gafgyt_udp,5000,1.0
Ecobee_Thermostat,mirai_ack,5000,1.0
Ecobee_Thermostat,mirai_scan,5000,1.0
Ecobee_Thermostat,mirai_syn,5000,1.0
Ecobee_Thermostat,mirai_udp,5000,1.0
Ecobee_Thermostat,mirai_udpplain,5000,1.0
Ennio_Doorbell,gafgyt_combo,5000,1.0
Ennio_Doorbell,gafgyt_junk,5000,1.0
Ennio_Doorbell,gafgyt_scan,5000,0.9994
Ennio_Doorbell,gafgyt_tcp,5000,1.0
Ennio_Doorbell,gafgyt_udp,5000,1.0
Philips_B120N10_Baby_Monitor,gafgyt_combo,5000,1.0
Philips_B120N10_Baby_Monitor,gafgyt_junk,5000,0.9998
Philips_B120N10_Baby_Monitor,gafgyt_scan,5000,0.9998
Philips_B120N10_Baby_Monitor,gafgyt_tcp,5000,0.0016
Philips_B120N10_Baby_Monitor,gafgyt_udp,5000,0.0006
Philips_B120N10_Baby_Monitor,mirai_ack,5000,1.0
Philips_B120N10_Baby_Monitor,mirai_scan,5000,0.9984
Philips_B120N10_Baby_Monitor,mirai_syn,5000,0.9998
Philips_B120N10_Baby_Monitor,mirai_udp,5000,1.0
Philips_B120N10_Baby_Monitor,mirai_udpplain,5000,1.0
Provision_PT_737E_Security_Camera,gafgyt_combo,5000,1.0
Provision_PT_737E_Security_Camera,gafgyt_junk,5000,1.0
Provision_PT_737E_Security_Camera,gafgyt_scan,5000,0.9998
Provision_PT_737E_Security_Camera,gafgyt_tcp,5000,0.001
Provision_PT_737E_Security_Camera,gafgyt_udp,5000,0.0016
Provision_PT_737E_Security_Camera,mirai_ack,5000,0.9998
Provision_PT_737E_Security_Camera,mirai_scan,5000,0.9994
Provision_PT_737E_Security_Camera,mirai_syn,5000,1.0
Provision_PT_737E_Security_Camera,mirai_udp,5000,1.0
Provision_PT_737E_Security_Camera,mirai_udpplain,5000,1.0
Provision_PT_838_Security_Camera,gafgyt_combo,5000,0.9996
Provision_PT_838_Security_Camera,gafgyt_junk,5000,0.9998
Provision_PT_838_Security_Camera,gafgyt_scan,5000,0.9964
Provision_PT_838_Security_Camera,gafgyt_tcp,5000,0.0006
Provision_PT_838_Security_Camera,gafgyt_udp,5000,0.0008
Provision_PT_838_Security_Camera,mirai_ack,5000,0.9996
Provision_PT_838_Security_Camera,mirai_scan,5000,0.9956
Provision_PT_838_Security_Camera,mirai_syn,5000,0.9982
Provision_PT_838_Security_Camera,mirai_udp,5000,1.0
Provision_PT_838_Security_Camera,mirai_udpplain,5000,1.0
Samsung_SNH_1011_N_Webcam,gafgyt_combo,5000,1.0
Samsung_SNH_1011_N_Webcam,gafgyt_junk,5000,1.0
Samsung_SNH_1011_N_Webcam,gafgyt_scan,5000,1.0
Samsung_SNH_1011_N_Webcam,gafgyt_tcp,5000,1.0
Samsung_SNH_1011_N_Webcam,gafgyt_udp,5000,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_combo,5000,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_junk,5000,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_scan,5000,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_tcp,5000,0.9994
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_udp,5000,0.9992
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_ack,5000,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_scan,5000,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_syn,5000,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_udp,5000,1.0
SimpleHome_XCS7_1002_WHT_Security_Camera,mirai_udpplain,5000,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_combo,5000,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_junk,5000,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_scan,5000,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_tcp,5000,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_udp,5000,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_ack,5000,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_scan,5000,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_syn,5000,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_udp,5000,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,mirai_udpplain,5000,1.0
