device_name,class,support,recall
Danmini_Doorbell,benign,1014,1.0
Danmini_Doorbell,gafgyt_combo,993,1.0
Danmini_Doorbell,gafgyt_junk,968,1.0
Danmini_Doorbell,gafgyt_scan,1006,1.0
Danmini_Doorbell,gafgyt_tcp,1007,0.0
Danmini_Doorbell,gafgyt_udp,968,1.0
Danmini_Doorbell,mirai_ack,1002,1.0
Danmini_Doorbell,mirai_scan,1029,1.0
Danmini_Doorbell,mirai_syn,1008,1.0
Danmini_Doorbell,mirai_udp,991,1.0
Danmini_Doorbell,mirai_udpplain,1026,0.9990253411306043
Ecobee_Thermostat,benign,989,1.0
Ecobee_Thermostat,gafgyt_combo,986,1.0
Ecobee_Thermostat,gafgyt_junk,1033,0.9970958373668926
Ecobee_Thermostat,gafgyt_scan,971,1.0
Ecobee_Thermostat,gafgyt_tcp,1013,1.0
Ecobee_Thermostat,gafgyt_udp,1033,0.000968054211035818
Ecobee_Thermostat,mirai_ack,1011,1.0
Ecobee_Thermostat,mirai_scan,995,0.9989949748743718
Ecobee_Thermostat,mirai_syn,1002,1.0
Ecobee_Thermostat,mirai_udp,1014,1.0
Ecobee_Thermostat,mirai_udpplain,954,1.0
Ennio_Doorbell,benign,1012,0.9990118577075099
Ennio_Doorbell,gafgyt_combo,1003,1.0
Ennio_Doorbell,gafgyt_junk,1011,1.0
Ennio_Doorbell,gafgyt_scan,994,1.0
Ennio_Doorbell,gafgyt_tcp,1020,1.0
Ennio_Doorbell,gafgyt_udp,1007,0.0
Philips_B120N10_Baby_Monitor,benign,1024,1.0
Philips_B120N10_Baby_Monitor,gafgyt_combo,1045,1.0
Philips_B120N10_Baby_Monitor,gafgyt_junk,965,1.0
Philips_B120N10_Baby_Monitor,gafgyt_scan,993,1.0
Philips_B120N10_Baby_Monitor,gafgyt_tcp,1006,1.0
Philips_B120N10_Baby_Monitor,gafgyt_udp,1027,0.0
Philips_B120N10_Baby_Monitor,mirai_ack,977,1.0
Philips_B120N10_Baby_Monitor,mirai_scan,1017,1.0
Philips_B120N10_Baby_Monitor,mirai_syn,1008,1.0
Philips_B120N10_Baby_Monitor,mirai_udp,957,1.0
Philips_B120N10_Baby_Monitor,mirai_udpplain,966,1.0
Provision_PT_737E_Security_Camera,benign,1033,1.0
Provision_PT_737E_Security_Camera,gafgyt_combo,986,1.0
Provision_PT_737E_Security_Camera,gafgyt_junk,1052,1.0
Provision_PT_737E_Security_Camera,gafgyt_scan,1023,1.0
Provision_PT_737E_Security_Camera,gafgyt_tcp,981,1.0
Provision_PT_737E_Security_Camera,gafgyt_udp,976,0.0010245901639344263
Provision_PT_737E_Security_Camera,mirai_ack,965,1.0
Provision_PT_737E_Security_Camera,mirai_scan,1003,1.0
Provision_PT_737E_Security_Camera,mirai_syn,989,1.0
Provision_PT_737E_Security_Camera,mirai_udp,1019,1.0
Provision_PT_737E_Security_Camera,mirai_udpplain,1018,1.0
Provision_PT_838_Security_Camera,benign,1028,1.0
Provision_PT_838_Security_Camera,gafgyt_combo,1036,1.0
Provision_PT_838_Security_Camera,gafgyt_junk,948,1.0
