device_name,class,support,recall
Danmini_Doorbell,gafgyt_tcp,1007,0.0
Danmini_Doorbell,gafgyt_udp,968,1.0
Ecobee_Thermostat,gafgyt_tcp,1013,1.0
Ecobee_Thermostat,gafgyt_udp,1033,0.000968054211035818
Ennio_Doorbell,gafgyt_tcp,1020,1.0
Ennio_Doorbell,gafgyt_udp,1007,0.0
Philips_B120N10_Baby_Monitor,gafgyt_tcp,1006,1.0
Philips_B120N10_Baby_Monitor,gafgyt_udp,1027,0.0
Provision_PT_737E_Security_Camera,gafgyt_tcp,981,1.0
Provision_PT_737E_Security_Camera,gafgyt_udp,976,0.0010245901639344263
Provision_PT_838_Security_Camera,gafgyt_tcp,1008,1.0
Provision_PT_838_Security_Camera,gafgyt_udp,1038,0.0019267822736030828
Samsung_SNH_1011_N_Webcam,gafgyt_tcp,979,1.0
Samsung_SNH_1011_N_Webcam,gafgyt_udp,983,0.0
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_tcp,1026,0.003898635477582846
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_udp,944,0.9989406779661016
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_tcp,960,1.0
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_udp,1024,0.001953125
