,precision,recall,f1-score,support
benign,0.9991311902693311,0.9991311902693311,0.9991311902693311,1151.0
gafgyt_combo,0.9995557036543374,1.0,0.9997778024663926,8999.0
gafgyt_junk,1.0,0.9995554073580082,0.9997776542523624,8997.0
gafgyt_scan,1.0,1.0,1.0,6301.0
gafgyt_tcp,0.48541247484909456,0.4893509127789047,0.48737373737373735,1972.0
gafgyt_udp,0.4914141414141414,0.48771929824561405,0.48955974842767297,1995.0
mirai_ack,1.0,1.0,1.0,7000.0
mirai_scan,1.0,0.9997481108312343,0.9998740395515808,3970.0
mirai_syn,1.0,1.0,1.0,5836.0
mirai_udp,0.999857163262391,1.0,0.9999285765302478,7000.0
mirai_udpplain,1.0,0.9998571428571429,0.9999285663261661,7000.0
accuracy,0.9661911957622756,0.9661911957622756,0.9661911957622756,0.9661911957622756
macro avg,0.9068518794044814,0.9068510965763852,0.9068501195634084,60221.0
weighted avg,0.9662012675403222,0.9661911957622756,0.9661957231685367,60221.0
