class,support,precision,recall,f1,baseline,f1_delta_no_time_minus_baseline
benign,9000,0.999888876541838,0.9997777777777778,0.9998333240735596,0.9998888888888889,-5.556481532931201e-05
gafgyt_combo,9000,1.0,0.9996666666666667,0.9998333055509252,0.9997778271495222,5.547840140296412e-05
gafgyt_junk,9000,1.0,1.0,1.0,0.9998333055509252,0.00016669444907480013
gafgyt_scan,9000,0.9995557529986673,1.0,0.9997778271495222,0.9999444413578532,-0.00016661420833097296
gafgyt_tcp,9000,0.4952012962732145,0.4414444444444444,0.46678023850085176,0.9886516853932585,-0.5218714468924068
gafgyt_udp,9000,0.4961916215674484,0.5501111111111111,0.5217620402571399,0.988901098901099,-0.4671390586439591
mirai_ack,7000,1.0,1.0,1.0,0.9999285765302478,7.142346975219649e-05
mirai_scan,7000,1.0,0.9998571428571429,0.9999285663261661,1.0,-7.143367383388721e-05
mirai_syn,7000,1.0,1.0,1.0,1.0,0.0
mirai_udp,7000,0.999857163262391,1.0,0.9999285765302478,0.9999285663261661,1.0204081690723399e-08
mirai_udpplain,7000,1.0,0.9998571428571429,0.9999285663261661,1.0,-7.143367383388721e-05
