,precision,recall,f1-score,support
benign,0.9997777777777778,0.9997777777777778,0.9997777777777778,9000.0
gafgyt_combo,0.9995557529986673,1.0,0.9997778271495223,9000.0
gafgyt_junk,1.0,0.9995555555555555,0.9997777283840854,9000.0
gafgyt_scan,1.0,1.0,1.0,9000.0
gafgyt_tcp,0.495980078263963,0.7745555555555556,0.6047278247668618,9000.0
gafgyt_udp,0.48580841358337556,0.213,0.29615325196972037,9000.0
mirai_ack,1.0,1.0,1.0,7000.0
mirai_scan,1.0,0.9998571428571429,0.9999285663261661,7000.0
mirai_syn,1.0,1.0,1.0,7000.0
mirai_udp,0.999857163262391,1.0,0.9999285765302478,7000.0
mirai_udpplain,1.0,0.9998571428571429,0.9999285663261661,7000.0
accuracy,0.8975280898876404,0.8975280898876404,0.8975280898876404,0.8975280898876404
macro avg,0.9073617441714705,0.9078730158730159,0.9000000108391407,89000.0
weighted avg,0.8969561611960765,0.8975280898876404,0.888768872524829,89000.0
