device_name,feature_family,feature,n_tcp,n_udp,auc_udp,separation_auc,higher_value_class
Danmini_Doorbell,H_variance,H_L0.01_variance,3413,3450,0.49985010424761256,0.5001498957523874,gafgyt_tcp
Danmini_Doorbell,H_variance,H_L0.1_variance,3413,3450,0.49985018917438445,0.5001498108256155,gafgyt_tcp
Danmini_Doorbell,H_variance,H_L1_variance,3413,3450,0.49985035902792824,0.5001496409720718,gafgyt_tcp
Danmini_Doorbell,H_variance,H_L3_variance,3413,3450,0.49985035902792824,0.5001496409720718,gafgyt_tcp
Danmini_Doorbell,H_variance,H_L5_variance,3413,3450,0.49985035902792824,0.5001496409720718,gafgyt_tcp
Ecobee_Thermostat,H_variance,H_L0.01_variance,3390,3393,0.5002937680996883,0.5002937680996883,gafgyt_udp
Ecobee_Thermostat,H_variance,H_L0.1_variance,3390,3393,0.5002941158571309,0.5002941158571309,gafgyt_udp
Ecobee_Thermostat,H_variance,H_L1_variance,3390,3393,0.5002944636145735,0.5002944636145735,gafgyt_udp
Ecobee_Thermostat,H_variance,H_L3_variance,3390,3393,0.5002944636145735,0.5002944636145735,gafgyt_udp
Ecobee_Thermostat,H_variance,H_L5_variance,3390,3393,0.5002942897358522,0.5002942897358522,gafgyt_udp
Ennio_Doorbell,H_variance,H_L0.01_variance,3386,3377,0.5000008745446465,0.5000008745446465,gafgyt_udp
Ennio_Doorbell,H_variance,H_L0.1_variance,3386,3377,0.5001489349532933,0.5001489349532933,gafgyt_udp
Ennio_Doorbell,H_variance,H_L1_variance,3386,3377,0.5000010494535758,0.5000010494535758,gafgyt_udp
Ennio_Doorbell,H_variance,H_L3_variance,3386,3377,0.500001224362505,0.500001224362505,gafgyt_udp
Ennio_Doorbell,H_variance,H_L5_variance,3386,3377,0.5000013118169697,0.5000013118169697,gafgyt_udp
Philips_B120N10_Baby_Monitor,H_variance,H_L0.01_variance,3378,3384,0.4995545505824785,0.5004454494175214,gafgyt_tcp
