held_out_device,class,f1,precision,recall,support
Danmini_Doorbell,benign,1.0,1.0,1.0,5000
Danmini_Doorbell,gafgyt_combo,0.9934574735782586,1.0,0.987,5000
Danmini_Doorbell,gafgyt_junk,0.9935419771485345,0.9871668311944719,1.0,5000
Danmini_Doorbell,gafgyt_scan,1.0,1.0,1.0,5000
Danmini_Doorbell,gafgyt_tcp,0.9998999899989999,1.0,0.9998,5000
Danmini_Doorbell,gafgyt_udp,0.9999000099990001,0.9998000399920016,1.0,5000
Danmini_Doorbell,mirai_ack,0.9997999599919984,1.0,0.9996,5000
Danmini_Doorbell,mirai_scan,1.0,1.0,1.0,5000
Danmini_Doorbell,mirai_syn,1.0,1.0,1.0,5000
Danmini_Doorbell,mirai_udp,0.9998000399920016,0.9996001599360256,1.0,5000
Danmini_Doorbell,mirai_udpplain,1.0,1.0,1.0,5000
Ecobee_Thermostat,benign,1.0,1.0,1.0,5000
Ecobee_Thermostat,gafgyt_combo,0.9999000099990001,0.9998000399920016,1.0,5000
Ecobee_Thermostat,gafgyt_junk,0.9998999899989999,1.0,0.9998,5000
Ecobee_Thermostat,gafgyt_scan,1.0,1.0,1.0,5000
Ecobee_Thermostat,gafgyt_tcp,0.9912236457177444,1.0,0.9826,5000
Ecobee_Thermostat,gafgyt_udp,0.991375037176564,0.9828975820719481,1.0,5000
Ecobee_Thermostat,mirai_ack,0.9999000099990001,0.9998000399920016,1.0,5000
Ecobee_Thermostat,mirai_scan,1.0,1.0,1.0,5000
Ecobee_Thermostat,mirai_syn,1.0,1.0,1.0,5000
Ecobee_Thermostat,mirai_udp,0.9997999599919984,1.0,0.9996,5000
Ecobee_Thermostat,mirai_udpplain,0.9999000099990001,0.9998000399920016,1.0,5000
Ennio_Doorbell,benign,0.9996999699969997,0.9997999599919984,0.9996,5000
Ennio_Doorbell,gafgyt_combo,0.9997999599919984,1.0,0.9996,5000
Ennio_Doorbell,gafgyt_junk,0.9997000899730081,0.9994003597841296,1.0,5000
Ennio_Doorbell,gafgyt_scan,1.0,1.0,1.0,5000
Ennio_Doorbell,gafgyt_tcp,0.9835365853658536,0.9997933884297521,0.9678,5000
Ennio_Doorbell,gafgyt_udp,0.9840551181102363,0.9687984496124031,0.9998,5000
Philips_B120N10_Baby_Monitor,benign,0.9978960024045688,0.9997992371009837,0.996,5000
Philips_B120N10_Baby_Monitor,gafgyt_combo,1.0,1.0,1.0,5000
Philips_B120N10_Baby_Monitor,gafgyt_junk,1.0,1.0,1.0,5000
Philips_B120N10_Baby_Monitor,gafgyt_scan,1.0,1.0,1.0,5000
Philips_B120N10_Baby_Monitor,gafgyt_tcp,0.9839496139780577,0.999793559042114,0.9686,5000
Philips_B120N10_Baby_Monitor,gafgyt_udp,0.9844426939740055,0.9695500387897595,0.9998,5000
Philips_B120N10_Baby_Monitor,mirai_ack,0.9981036031540074,0.9962143853357243,1.0,5000
Philips_B120N10_Baby_Monitor,mirai_scan,1.0,1.0,1.0,5000
Philips_B120N10_Baby_Monitor,mirai_syn,1.0,1.0,1.0,5000
Philips_B120N10_Baby_Monitor,mirai_udp,1.0,1.0,1.0,5000
Philips_B120N10_Baby_Monitor,mirai_udpplain,1.0,1.0,1.0,5000
Provision_PT_737E_Security_Camera,benign,0.9998000399920016,0.9996001599360256,1.0,5000
Provision_PT_737E_Security_Camera,gafgyt_combo,0.9991008092716556,0.9982032341784788,1.0,5000
Provision_PT_737E_Security_Camera,gafgyt_junk,0.9994997498749374,1.0,0.999,5000
Provision_PT_737E_Security_Camera,gafgyt_scan,0.9995002498750626,0.999000999000999,1.0,5000
Provision_PT_737E_Security_Camera,gafgyt_tcp,0.9677019915385409,0.9995736516734172,0.9378,5000
Provision_PT_737E_Security_Camera,gafgyt_udp,0.9695382227396198,0.9414091936699321,0.9994,5000
Provision_PT_737E_Security_Camera,mirai_ack,1.0,1.0,1.0,5000
