held_out_device,class,f1,precision,recall,support
Danmini_Doorbell,benign,0.9999000099990001,0.9998000399920016,1.0,5000
Danmini_Doorbell,gafgyt_combo,0.9935587761674718,1.0,0.9872,5000
Danmini_Doorbell,gafgyt_junk,0.9936406995230525,0.9873617693522907,1.0,5000
Danmini_Doorbell,gafgyt_scan,1.0,1.0,1.0,5000
Danmini_Doorbell,gafgyt_tcp,0.0007996801279488205,1.0,0.0004,5000
Danmini_Doorbell,gafgyt_udp,0.6668000266720011,0.500150045013504,1.0,5000
Danmini_Doorbell,mirai_ack,1.0,1.0,1.0,5000
Danmini_Doorbell,mirai_scan,1.0,1.0,1.0,5000
Danmini_Doorbell,mirai_syn,1.0,1.0,1.0,5000
Danmini_Doorbell,mirai_udp,0.9835332384631023,1.0,0.9676,5000
Danmini_Doorbell,mirai_udpplain,0.98405825624877,0.9686168151879117,1.0,5000
Ecobee_Thermostat,benign,0.9993998799759952,0.9995998399359743,0.9992,5000
Ecobee_Thermostat,gafgyt_combo,1.0,1.0,1.0,5000
Ecobee_Thermostat,gafgyt_junk,1.0,1.0,1.0,5000
Ecobee_Thermostat,gafgyt_scan,0.9999000099990001,0.9998000399920016,1.0,5000
Ecobee_Thermostat,gafgyt_tcp,0.001998001998001998,1.0,0.001,5000
Ecobee_Thermostat,gafgyt_udp,0.6667111229661243,0.5001000400160064,0.9998,5000
Ecobee_Thermostat,mirai_ack,0.9998000399920016,0.9996001599360256,1.0,5000
Ecobee_Thermostat,mirai_scan,0.9998999899989999,1.0,0.9998,5000
Ecobee_Thermostat,mirai_syn,0.9999000099990001,0.9998000399920016,1.0,5000
Ecobee_Thermostat,mirai_udp,0.9995998399359743,1.0,0.9992,5000
Ecobee_Thermostat,mirai_udpplain,0.9998000399920016,0.9996001599360256,1.0,5000
Ennio_Doorbell,benign,0.9998,0.9998,0.9998,5000
Ennio_Doorbell,gafgyt_combo,0.9998999899989999,1.0,0.9998,5000
Ennio_Doorbell,gafgyt_junk,0.9999000099990001,0.9998000399920016,1.0,5000
Ennio_Doorbell,gafgyt_scan,1.0,1.0,1.0,5000
Ennio_Doorbell,gafgyt_tcp,0.001997602876548142,0.8333333333333334,0.001,5000
Ennio_Doorbell,gafgyt_udp,0.6668000533546752,0.5002001200720432,0.9998,5000
Philips_B120N10_Baby_Monitor,benign,0.9977960328591464,0.9995985547972702,0.996,5000
Philips_B120N10_Baby_Monitor,gafgyt_combo,1.0,1.0,1.0,5000
Philips_B120N10_Baby_Monitor,gafgyt_junk,1.0,1.0,1.0,5000
Philips_B120N10_Baby_Monitor,gafgyt_scan,1.0,1.0,1.0,5000
Philips_B120N10_Baby_Monitor,gafgyt_tcp,0.0031936127744510976,0.8,0.0016,5000
Philips_B120N10_Baby_Monitor,gafgyt_udp,0.666844563042028,0.5003003003003003,0.9996,5000
Philips_B120N10_Baby_Monitor,mirai_ack,0.9982032341784788,0.9964129135113591,1.0,5000
Philips_B120N10_Baby_Monitor,mirai_scan,1.0,1.0,1.0,5000
Philips_B120N10_Baby_Monitor,mirai_syn,1.0,1.0,1.0,5000
Philips_B120N10_Baby_Monitor,mirai_udp,1.0,1.0,1.0,5000
Philips_B120N10_Baby_Monitor,mirai_udpplain,1.0,1.0,1.0,5000
Provision_PT_737E_Security_Camera,benign,0.9993003498250874,0.9988011988011988,0.9998,5000
Provision_PT_737E_Security_Camera,gafgyt_combo,0.9998999899989999,1.0,0.9998,5000
Provision_PT_737E_Security_Camera,gafgyt_junk,0.9996999099729919,1.0,0.9994,5000
Provision_PT_737E_Security_Camera,gafgyt_scan,0.9996001599360256,0.9992006394884093,1.0,5000
Provision_PT_737E_Security_Camera,gafgyt_tcp,0.0023971234518577705,1.0,0.0012,5000
Provision_PT_737E_Security_Camera,gafgyt_udp,0.6666666666666666,0.5001501351216094,0.9994,5000
Provision_PT_737E_Security_Camera,mirai_ack,0.9998999899989999,1.0,0.9998,5000
Provision_PT_737E_Security_Camera,mirai_scan,0.9839614287119944,0.968429207824908,1.0,5000
Provision_PT_737E_Security_Camera,mirai_syn,0.9835332384631023,1.0,0.9676,5000
Provision_PT_737E_Security_Camera,mirai_udp,0.9997999599919984,1.0,0.9996,5000
Provision_PT_737E_Security_Camera,mirai_udpplain,0.9994,0.9994,0.9994,5000
Provision_PT_838_Security_Camera,benign,0.9998,0.9998,0.9998,5000
Provision_PT_838_Security_Camera,gafgyt_combo,1.0,1.0,1.0,5000
